"01p07nea","06p07nea","94p07nea"
-0.386315584,-0.061435342,-0.068588912
-0.771809757,-0.167370439,-0.353760242
-0.828191817,-0.640259266,-0.606874228
-0.378201485,-1.00825119,-0.644185662
0.308079183,-1.027928352,-0.42258054
0.841791809,-0.42805171,-0.066522241
0.98075217,0.410239697,0.272647917
0.615515232,0.997675776,0.397177517
0.049150035,1.082561493,0.350710332
-0.545406222,0.623008728,0.168037891
-0.748944283,0.155889452,-0.044052124
-0.57926029,-0.227031171,-0.175810039
-0.227114916,-0.377567947,-0.178587854
0.095735431,-0.370164931,-0.044669986
0.188127816,-0.25622052,0.113282919
0.24021101,-0.014852583,0.261954725
0.282189131,0.24098742,0.365527511
0.418557703,0.467732191,0.363283813
0.526412427,0.503562689,0.294069767
0.541714489,0.396144927,0.18074286
0.449171126,0.203033626,0.0908885
0.178179264,-0.051368892,0.060675256
-0.125454068,-0.236445189,0.010880265
-0.389058769,-0.33872354,-0.031750813
-0.462690175,-0.32376951,-0.116029441
-0.294649839,-0.150993466,-0.120657027
-0.001294732,0.124349177,-0.089604616
0.260463238,0.465417087,-0.057381149
0.269762754,0.640897036,-0.050474964
0.02429587,0.523048878,-0.090266407
-0.26955241,0.145593643,-0.091638565
-0.474342644,-0.336100399,-0.074857354
-0.557098806,-0.668518186,-0.033504467
-0.636644721,-0.794636607,-9.95E-05
-0.729345024,-0.689177632,0.038017601
-0.691763282,-0.411922157,0.047737207
-0.477103591,-0.131284058,-0.008655705
-0.179790735,0.074119985,-0.097689927
-0.009606004,0.122717083,-0.154075146
-0.02577452,0.031062219,-0.145939767
-0.187798142,-0.174788296,-0.07449764
-0.391071856,-0.485654891,0.005877387
-0.471607506,-0.740664721,0.089231312
-0.437524199,-0.866928875,0.110336661
-0.297214746,-0.689470351,0.061207019
-0.130794048,-0.340685666,-0.009987067
-0.034135986,-0.106299162,-0.086312175
0.064481497,-0.04189615,-0.125902534
0.15099287,-0.189582705,-0.189778626
0.346785128,-0.198875546,-0.218991697
0.616856098,0.006852537,-0.227964103
0.847073913,0.420792103,-0.184314728
0.898712337,0.839811981,-0.110573947
0.701725602,1.056794167,-0.048879676
0.511310399,1.076635361,0.072868884
0.378330767,0.83550179,0.123400748
0.360941887,0.600443542,0.143191159
0.265420258,0.374162436,0.163679302
0.091864169,0.301344633,0.218968987
-0.046159789,0.282429099,0.199974954
-0.118534803,0.230572164,0.046299972
